波長,光路差
380,269.87754
381,269.842563
382,269.807666
383,269.772849
384,269.738112
385,269.703455
386,269.668878
387,269.634381
388,269.599964
389,269.565627
390,269.53137
391,269.497193
392,269.463096
393,269.429079
394,269.395142
395,269.361285
396,269.327508
397,269.293811
398,269.260194
399,269.226657
400,269.1932
401,269.159823
402,269.126526
403,269.093309
404,269.060172
405,269.027115
406,268.994138
407,268.961241
408,268.928424
409,268.895687
410,268.86303
411,268.830453
412,268.797956
413,268.765539
414,268.733202
415,268.700945
416,268.668768
417,268.636671
418,268.604654
419,268.572717
420,268.54086
421,268.509083
422,268.477386
423,268.445769
424,268.414232
425,268.382775
426,268.351398
427,268.320101
428,268.288884
429,268.257747
430,268.22669
431,268.195713
432,268.164816
433,268.133999
434,268.103262
435,268.072605
436,268.042028
437,268.011531
438,267.981114
439,267.950777
440,267.92052
441,267.890343
442,267.860246
443,267.830229
444,267.800292
445,267.770435
446,267.740658
447,267.710961
448,267.681344
449,267.651807
450,267.62235
451,267.592973
452,267.563676
453,267.534459
454,267.505322
455,267.476265
456,267.447288
457,267.418391
458,267.389574
459,267.360837
460,267.33218
461,267.303603
462,267.275106
463,267.246689
464,267.218352
465,267.190095
466,267.161918
467,267.133821
468,267.105804
469,267.077867
470,267.05001
471,267.022233
472,266.994536
473,266.966919
474,266.939382
475,266.911925
476,266.884548
477,266.857251
478,266.830034
479,266.802897
480,266.77584
481,266.748863
482,266.721966
483,266.695149
484,266.668412
485,266.641755
486,266.615178
487,266.588681
488,266.562264
489,266.535927
490,266.50967
491,266.483493
492,266.457396
493,266.431379
494,266.405442
495,266.379585
496,266.353808
497,266.328111
498,266.302494
499,266.276957
500,266.2515
501,266.226123
502,266.200826
503,266.175609
504,266.150472
505,266.125415
506,266.100438
507,266.075541
508,266.050724
509,266.025987
510,266.00133
511,265.976753
512,265.952256
513,265.927839
514,265.903502
515,265.879245
516,265.855068
517,265.830971
518,265.806954
519,265.783017
520,265.75916
521,265.735383
522,265.711686
523,265.688069
524,265.664532
525,265.641075
526,265.617698
527,265.594401
528,265.571184
529,265.548047
530,265.52499
531,265.502013
532,265.479116
533,265.456299
534,265.433562
535,265.410905
536,265.388328
537,265.365831
538,265.343414
539,265.321077
540,265.29882
541,265.276643
542,265.254546
543,265.232529
544,265.210592
545,265.188735
546,265.166958
547,265.145261
548,265.123644
549,265.102107
550,265.08065
551,265.059273
552,265.037976
553,265.016759
554,264.995622
555,264.974565
556,264.953588
557,264.932691
558,264.911874
559,264.891137
560,264.87048
561,264.849903
562,264.829406
563,264.808989
564,264.788652
565,264.768395
566,264.748218
567,264.728121
568,264.708104
569,264.688167
570,264.66831
571,264.648533
572,264.628836
573,264.609219
574,264.589682
575,264.570225
576,264.550848
577,264.531551
578,264.512334
579,264.493197
580,264.47414
581,264.455163
582,264.436266
583,264.417449
584,264.398712
585,264.380055
586,264.361478
587,264.342981
588,264.324564
589,264.306227
590,264.28797
591,264.269793
592,264.251696
593,264.233679
594,264.215742
595,264.197885
596,264.180108
597,264.162411
598,264.144794
599,264.127257
600,264.1098
601,264.092423
602,264.075126
603,264.057909
604,264.040772
605,264.023715
606,264.006738
607,263.989841
608,263.973024
609,263.956287
610,263.93963
611,263.923053
612,263.906556
613,263.890139
614,263.873802
615,263.857545
616,263.841368
617,263.825271
618,263.809254
619,263.793317
620,263.77746
621,263.761683
622,263.745986
623,263.730369
624,263.714832
625,263.699375
626,263.683998
627,263.668701
628,263.653484
629,263.638347
630,263.62329
631,263.608313
632,263.593416
633,263.578599
634,263.563862
635,263.549205
636,263.534628
637,263.520131
638,263.505714
639,263.491377
640,263.47712
641,263.462943
642,263.448846
643,263.434829
644,263.420892
645,263.407035
646,263.393258
647,263.379561
648,263.365944
649,263.352407
650,263.33895
651,263.325573
652,263.312276
653,263.299059
654,263.285922
655,263.272865
656,263.259888
657,263.246991
658,263.234174
659,263.221437
660,263.20878
661,263.196203
662,263.183706
663,263.171289
664,263.158952
665,263.146695
666,263.134518
667,263.122421
668,263.110404
669,263.098467
670,263.08661
671,263.074833
672,263.063136
673,263.051519
674,263.039982
675,263.028525
676,263.017148
677,263.005851
678,262.994634
679,262.983497
680,262.97244
681,262.961463
682,262.950566
683,262.939749
684,262.929012
685,262.918355
686,262.907778
687,262.897281
688,262.886864
689,262.876527
690,262.86627
691,262.856093
692,262.845996
693,262.835979
694,262.826042
695,262.816185
696,262.806408
697,262.796711
698,262.787094
699,262.777557
700,262.7681
701,262.758723
702,262.749426
703,262.740209
704,262.731072
705,262.722015
706,262.713038
707,262.704141
708,262.695324
709,262.686587
710,262.67793
711,262.669353
712,262.660856
713,262.652439
714,262.644102
715,262.635845
716,262.627668
717,262.619571
718,262.611554
719,262.603617
720,262.59576
721,262.587983
722,262.580286
723,262.572669
724,262.565132
725,262.557675
726,262.550298
727,262.543001
728,262.535784
729,262.528647
730,262.52159
731,262.514613
732,262.507716
733,262.500899
734,262.494162
735,262.487505
736,262.480928
737,262.474431
738,262.468014
739,262.461677
740,262.45542
741,262.449243
742,262.443146
743,262.437129
744,262.431192
745,262.425335
746,262.419558
747,262.413861
748,262.408244
749,262.402707
750,262.39725
